name,state,zip,benchmark_area,chain,gpl_status,gpl_url,gpl_effective,provenance,request_sent,gpl_loaded,license_checked,vetted,email_confirmed,notes
Cunningham Turch Funeral Home,VA,22314,Alexandria,,no_site_known,,,,,,,,,Request by email/phone.
Demaine Funeral Home (Alexandria),VA,22314,Alexandria,SCI / Dignity Memorial,site_check,,,,,,,,,Dignity Memorial location page carries a GPL download.
Everly-Wheatley Funeral Home & Crematory,VA,22302,Alexandria,Carriage Services,site_check,https://everlywheatley.com/,,,,,,,,"Site known; look for a posted list, else send the request."
Funeral Choices (Alexandria),VA,22307,Alexandria,,site_check,https://funeralchoices.com/,,,,,,,,"Site known; look for a posted list, else send the request."
Greene Funeral Home Inc.,VA,22314,Alexandria,,site_check,https://greenefh.net/,,,,,,,,"Site known; look for a posted list, else send the request."
Jefferson Funeral Chapel,VA,22315,Alexandria,,site_check,https://jeffersonfuneralchapel.com/,,,,,,,,"Site known; look for a posted list, else send the request."
Chinn-Baker Funeral Service,VA,22206,Arlington,,no_site_known,,,,,,,,,Request by email/phone.
Murphy Funeral Homes (Arlington),VA,22203,Arlington,SCI / Dignity Memorial,site_check,,,,,,,,,Dignity Memorial location page carries a GPL download.
Storke Funeral Home (Arlington Chapel),VA,22214,Arlington,,no_site_known,,,,,,,,,Request by email/phone.
Cole Funeral Services P.A.,MD,20853,Bethesda/Rockville,,site_check,https://colefuneral.com/,,,,,,,,"Site known; look for a posted list, else send the request."
DeVol Funeral Home (Gaithersburg),MD,20877,Bethesda/Rockville,SCI / Dignity Memorial,site_check,,,,,,,,,Dignity Memorial location page carries a GPL download.
Hilton Funeral Home,MD,20838,Bethesda/Rockville,,site_check,https://hiltonfh.com/,,,,,,,,"Site known; look for a posted list, else send the request."
Molesworth-Williams P.A. Funeral Home,MD,20872,Bethesda/Rockville,,site_check,https://molesworthwilliams.com/,,,,,,,,"Site known; look for a posted list, else send the request."
Robert A. Pumphrey Funeral Home (Bethesda-Chevy Chase),MD,20814,Bethesda/Rockville,,site_check,https://pumphreyfuneralhome.com/,,,,,,,,"Site known; look for a posted list, else send the request."
Robert A. Pumphrey Funeral Home (Rockville),MD,20850,Bethesda/Rockville,,site_check,https://pumphreyfuneralhome.com/,,,,,,,,"Site known; look for a posted list, else send the request."
Roy W. Barber Funeral Home,MD,20882,Bethesda/Rockville,,site_check,https://barberfhlaytonsville.com/,,,,,,,,"Site known; look for a posted list, else send the request."
Sagel Bloomfield Danzansky Goldberg Funeral Care,MD,20852,Bethesda/Rockville,,site_check,https://sagelbloomfield.com/,,,,,,,,"Site known; look for a posted list, else send the request."
Shomrei Neshama of Greater Washington P.A.,MD,20852,Bethesda/Rockville,,site_check,https://shomreineshama.com/,,,,,,,,"Site known; look for a posted list, else send the request."
Simple Tribute Funeral & Cremation Center,MD,20852,Bethesda/Rockville,,no_site_known,,,,,,,,,Request by email/phone.
Snowden Funeral Home,MD,20850,Bethesda/Rockville,,site_check,https://snowdencares.com/,,,,,,,,"Site known; look for a posted list, else send the request."
Thibadeau Mortuary Service P.A.,MD,20877,Bethesda/Rockville,,site_check,https://interfaithfunerals.com/,,,,,,,,"Site known; look for a posted list, else send the request."
Advent Funeral & Cremation Services (Falls Church),VA,22046,Fairfax County,,no_site_known,,,,,,,,,Request by email/phone.
Everly Funeral Home,VA,22030,Fairfax County,Carriage Services,site_check,https://everlyfuneralhome.com/,,,,,,,,"Site known; look for a posted list, else send the request."
Fairfax Memorial Funeral Home,VA,22032,Fairfax County,,link_found,https://www.fairfaxmemorialfuneralhome.com/funeral/general-price-list,,,,,,,,Posted page; a 2022 PDF also exists (stale).
Murphy Funeral Homes (Falls Church),VA,22046,Fairfax County,SCI / Dignity Memorial,site_check,,,,,,,,,Dignity Memorial location page carries a GPL download.
National Funeral Home & Memorial Park,VA,22042,Fairfax County,SCI / Dignity Memorial,site_check,,,,,,,,,Dignity Memorial location page carries a GPL download.
Demaine Funeral Home (Springfield),VA,22151,McLean/Vienna/Woodbridge,SCI / Dignity Memorial,site_check,,,,,,,,,Dignity Memorial location page carries a GPL download.
Miller Funeral Home & Crematory Inc.,VA,22192,McLean/Vienna/Woodbridge,,site_check,https://millerfuneralhome.net/,,,,,,,,"Site known; look for a posted list, else send the request."
Money & King Funeral Home,VA,22180,McLean/Vienna/Woodbridge,,no_site_known,,,,,,,,,Request by email/phone.
Mountcastle Turch Funeral Home & Crematory,VA,22193,McLean/Vienna/Woodbridge,,site_check,https://mountcastle.net/,,,,,,,,"Site known; look for a posted list, else send the request."
Randall Funeral Home,VA,22191,McLean/Vienna/Woodbridge,,site_check,https://randallfuneralhomes.com/,,,,,,,,"Site known; look for a posted list, else send the request."
Adams-Green Funeral Home,VA,20170,Northern VA (Loudoun/Manassas/Reston),,site_check,https://adamsgreen.com/,,,,,,,,"Site known; look for a posted list, else send the request."
Ames Funeral Home Inc.,VA,20110,Northern VA (Loudoun/Manassas/Reston),,site_check,https://amesfh.com/,,,,,,,,"Site known; look for a posted list, else send the request."
Baker-Post Funeral Home & Cremation Center,VA,20110,Northern VA (Loudoun/Manassas/Reston),,link_found,https://www.bakerpostfh.com/funeral-pricing,,,,,,,,Pricing page.
Colonial Funeral Home of Leesburg,VA,20176,Northern VA (Loudoun/Manassas/Reston),,site_check,https://colonialfuneralhome.com/,,,,,,,,"Site known; look for a posted list, else send the request."
Cremation & Memorial Center,VA,20151,Northern VA (Loudoun/Manassas/Reston),,no_site_known,,,,,,,,,Request by email/phone.
